Data,Media,Minimo,Maximo,Mediana
2025-06-20,11.5284,9.5,15.0,11.5
2025-06-20,11.5284,9.5,15.0,11.5
2025-06-20,11.784,9.5,15.0,11.75
2025-06-20,11.7477,9.5,15.0,11.75
2025-06-20,12.0294,10.0,15.0,12.0
2025-06-20,12.0259,10.0,15.0,12.0
2025-06-20,12.2647,10.0,15.0,12.5
2025-06-20,12.2802,10.0,15.0,12.25
2025-06-20,12.5364,10.0,15.0,12.5
2025-06-20,12.5357,10.0,15.0,12.5
2025-06-20,12.722,10.0,15.0,12.75
2025-06-20,12.7105,10.0,15.0,12.75
2025-06-20,12.9592,10.0,15.25,13.0
2025-06-20,12.9586,10.0,15.25,13.0
2025-06-20,13.2753,10.0,15.25,13.25
2025-06-20,13.2714,10.0,15.25,13.375
2025-06-20,13.6414,10.5,15.25,13.75
2025-06-20,13.6321,10.5,15.25,13.75
2025-06-20,14.048,11.5,15.25,14.25
2025-06-20,14.0286,11.5,15.25,14.25
2025-06-20,14.4116,12.25,15.25,14.5
2025-06-20,14.3946,12.25,15.25,14.5
2025-06-20,14.6692,12.75,15.25,14.75
2025-06-20,14.6518,12.75,15.25,14.75
2025-06-20,14.8575,13.5,15.25,15.0
2025-06-20,14.8401,13.5,15.25,15.0
2025-06-20,14.9325,14.25,15.25,15.0
2025-06-20,14.9149,14.25,15.25,15.0
2025-06-20,14.9475,14.5,15.25,15.0
2025-06-20,14.9306,14.5,15.25,15.0
2025-06-20,14.95,14.75,15.25,15.0
2025-06-20,14.934,14.75,15.25,15.0
2025-06-18,11.9107,9.0,15.0,12.0
2025-06-18,11.7689,9.0,15.0,12.0
2025-06-18,12.1167,9.0,15.0,12.25
2025-06-18,12.0065,9.0,15.0,12.0
2025-06-18,12.3467,9.0,15.0,12.5
2025-06-18,12.25,9.0,15.0,12.25
2025-06-18,12.59,9.5,15.0,12.5
2025-06-18,12.5041,9.5,15.0,12.5
2025-06-18,12.7585,10.0,15.0,12.75
2025-06-18,12.6721,10.0,15.0,12.5
2025-06-18,12.9663,10.0,15.25,13.0
2025-06-18,12.9043,10.0,15.25,13.0
2025-06-18,13.2219,10.0,15.25,13.25
2025-06-18,13.1755,10.0,15.25,13.25
2025-06-18,13.559,10.25,15.25,13.5
2025-06-18,13.5213,10.25,15.25,13.5
2025-06-18,13.9579,11.25,15.25,14.0
2025-06-18,13.9131,11.25,15.25,14.0
2025-06-18,14.3146,12.25,15.25,14.5
2025-06-18,14.2819,12.25,15.25,14.5
2025-06-18,14.5787,12.75,15.25,14.75
2025-06-18,14.555,12.75,15.25,14.75
2025-06-18,14.7667,13.5,15.25,14.75
2025-06-18,14.7584,13.5,15.25,14.75
2025-06-18,14.8361,14.25,15.25,14.75
2025-06-18,14.8328,14.25,15.25,14.75
2025-06-18,14.8583,14.5,15.25,14.75
2025-06-18,14.8569,14.5,15.25,14.75
2025-06-18,14.8611,14.75,15.25,14.75
2025-06-18,14.8621,14.75,15.25,14.75
2025-06-18,14.8556,14.75,15.0,14.75
2025-06-18,14.8569,14.75,15.25,14.75
2025-06-17,11.9049,9.0,15.0,12.0
2025-06-17,11.7933,9.0,15.0,12.0
2025-06-17,12.1184,9.0,15.0,12.25
2025-06-17,12.0329,9.0,15.0,12.0
2025-06-17,12.3182,9.0,15.0,12.5
2025-06-17,12.2587,9.0,15.0,12.25
2025-06-17,12.5915,9.5,15.0,12.5
2025-06-17,12.5128,9.5,15.0,12.5
2025-06-17,12.7446,10.0,15.0,12.75
2025-06-17,12.6804,10.0,15.0,12.625
2025-06-17,12.9533,10.0,15.25,13.0
2025-06-17,12.9125,10.0,15.25,13.0
2025-06-17,13.2115,10.0,15.25,13.25
2025-06-17,13.1839,10.0,15.25,13.25
2025-06-17,13.5467,10.25,15.25,13.5
2025-06-17,13.5232,10.25,15.25,13.5
2025-06-17,13.9396,11.25,15.25,14.0
2025-06-17,13.9125,11.25,15.25,14.0
2025-06-17,14.2912,12.25,15.25,14.5
2025-06-17,14.2786,12.25,15.25,14.5
2025-06-17,14.5604,12.75,15.25,14.75
2025-06-17,14.5536,12.75,15.25,14.75
2025-06-17,14.7632,13.5,15.25,14.75
2025-06-17,14.7585,13.5,15.25,14.75
2025-06-17,14.836,14.25,15.25,14.75
2025-06-17,14.8333,14.25,15.25,14.75
2025-06-17,14.8575,14.5,15.25,14.75
2025-06-17,14.8576,14.5,15.25,14.75
2025-06-17,14.8602,14.75,15.25,14.75
2025-06-17,14.8628,14.75,15.25,14.75
2025-06-17,14.8548,14.75,15.0,14.75
2025-06-17,14.8576,14.75,15.25,14.75
2025-06-16,11.9063,9.0,15.0,12.0
2025-06-16,11.801,9.0,15.0,12.0
2025-06-16,12.1104,9.0,15.0,12.25
2025-06-16,12.0376,9.0,15.0,12.0
2025-06-16,12.3173,9.0,15.0,12.5
2025-06-16,12.2654,9.0,15.0,12.375
2025-06-16,12.5929,9.5,15.0,12.5
2025-06-16,12.5199,9.5,15.0,12.5
2025-06-16,12.7368,10.0,15.0,12.75
2025-06-16,12.6835,10.0,15.0,12.75
2025-06-16,12.9441,10.0,15.25,13.0
2025-06-16,12.9137,10.0,15.25,13.0
2025-06-16,13.2021,10.0,15.25,13.25
2025-06-16,13.1835,10.0,15.25,13.25
2025-06-16,13.5293,10.25,15.25,13.5
2025-06-16,13.5216,10.25,15.25,13.5
2025-06-16,13.9122,11.25,15.25,14.0
2025-06-16,13.9101,11.25,15.25,14.0
2025-06-16,14.2713,12.25,15.25,14.5
2025-06-16,14.2752,12.25,15.25,14.5
2025-06-16,14.5452,12.75,15.25,14.75
2025-06-16,14.5522,12.75,15.25,14.75
2025-06-16,14.7525,13.5,15.25,14.75
2025-06-16,14.7586,13.5,15.25,14.75
2025-06-16,14.8333,14.25,15.25,14.75
2025-06-16,14.8339,14.25,15.25,14.75
2025-06-16,14.8542,14.5,15.25,14.75
2025-06-16,14.8584,14.5,15.25,14.75
2025-06-16,14.8568,14.75,15.25,14.75
2025-06-16,14.8636,14.75,15.25,14.75
2025-06-16,14.8516,14.75,15.0,14.75
2025-06-16,14.8584,14.75,15.25,14.75
2025-06-13,11.9452,9.0,15.0,12.0
2025-06-13,11.8077,9.0,15.0,12.0
2025-06-13,12.1506,9.0,15.0,12.25
2025-06-13,12.0461,9.0,15.0,12.0
2025-06-13,12.3513,9.0,15.0,12.5
2025-06-13,12.2717,9.0,15.0,12.5
2025-06-13,12.6136,9.5,15.0,12.5
2025-06-13,12.5269,9.5,15.0,12.5
2025-06-13,12.7604,10.0,15.0,12.75
2025-06-13,12.6929,10.0,15.0,12.75
2025-06-13,12.9714,10.0,15.25,13.0
2025-06-13,12.9232,10.0,15.25,13.0
2025-06-13,13.2344,10.0,15.25,13.25
2025-06-13,13.1929,10.0,15.25,13.25
2025-06-13,13.5651,10.25,15.25,13.5
2025-06-13,13.5304,10.25,15.25,13.5
2025-06-13,13.9479,11.25,15.25,14.0
2025-06-13,13.9179,11.25,15.25,14.0
2025-06-13,14.3021,12.25,15.25,14.5
2025-06-13,14.2804,12.25,15.25,14.5
2025-06-13,14.5651,12.75,15.25,14.75
2025-06-13,14.5554,12.75,15.25,14.75
2025-06-13,14.7549,13.5,15.25,14.75
2025-06-13,14.7586,13.5,15.25,14.75
2025-06-13,14.8308,14.25,15.25,14.75
2025-06-13,14.834,14.25,15.25,14.75
2025-06-13,14.8535,14.5,15.25,14.75
2025-06-13,14.8584,14.5,15.25,14.75
2025-06-13,14.8561,14.75,15.25,14.75
2025-06-13,14.8636,14.75,15.25,14.75
2025-06-13,14.851,14.75,15.0,14.75
2025-06-13,14.8584,14.75,15.25,14.75
2025-06-12,11.7365,9.75,14.75,12.0
2025-06-12,11.7758,9.0,15.0,12.0
2025-06-12,12.0238,10.0,14.75,12.0
2025-06-12,12.0046,9.0,15.0,12.0
2025-06-12,12.2326,10.0,15.0,12.25
2025-06-12,12.2477,9.0,15.0,12.25
2025-06-12,12.431,10.0,15.0,12.5
2025-06-12,12.475,9.5,15.0,12.5
2025-06-12,12.5818,10.25,15.0,12.5
2025-06-12,12.6542,10.0,15.0,12.5
2025-06-12,12.85,10.5,15.25,13.0
2025-06-12,12.8891,10.0,15.25,13.0
2025-06-12,13.1636,10.5,15.25,13.25
2025-06-12,13.1654,10.0,15.25,13.25
